epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.14255088567733765,0.07680278271436691,0.43651777505874634,1e-04,0.4687136709690094,0.15760087966918945,0.10197566449642181,0.053740452975034714,0.5862653255462646,0.0,0.0
1,0.16729098558425903,0.09142478555440903,0.291110634803772,1e-04,0.8962823748588562,0.05188954994082451,0.09610553085803986,0.050489235669374466,0.44834429025650024,0.0,0.0
2,0.22243502736091614,0.1252748668193817,0.2474774569272995,1e-04,0.939185619354248,0.11129103600978851,0.08602357655763626,0.04495289549231529,0.3589092791080475,0.0,0.0
3,0.24869726598262787,0.1421617865562439,0.22415882349014282,1e-04,0.9478905200958252,0.12323205173015594,0.07824923098087311,0.040724072605371475,0.3066234588623047,0.3257142901420593,1.8445844034431502e-05
4,0.2755240201950073,0.15992744266986847,0.20404699444770813,1e-04,0.9582498669624329,0.1342793107032776,0.08058786392211914,0.041993193328380585,0.274080365896225,0.21831706166267395,0.001035232562571764
5,0.2979481518268585,0.17521221935749054,0.1901894360780716,1e-04,0.9610099792480469,0.14162680506706238,0.09886028617620468,0.052016012370586395,0.24202251434326172,0.4965584874153137,0.0050894347950816154
6,0.31790563464164734,0.1891559660434723,0.1775216907262802,1e-04,0.9657797813415527,0.1442631334066391,0.1369006633758545,0.07351621240377426,0.21833384037017822,0.8236830830574036,0.018879158422350883
7,0.3379530608654022,0.2035018354654312,0.1668952852487564,1e-04,0.9706339240074158,0.14812025427818298,0.18505091965198517,0.10204632580280304,0.19612707197666168,0.9803549647331238,0.039468929171562195
8,0.3563424348831177,0.2169714868068695,0.15797169506549835,1e-04,0.9738426804542542,0.15042418241500854,0.22021794319152832,0.12384265661239624,0.18133971095085144,0.9823538064956665,0.05444210022687912
9,0.37162333726882935,0.22839254140853882,0.15080231428146362,1e-04,0.9750093817710876,0.15067054331302643,0.2708089053630829,0.1568024605512619,0.16334019601345062,0.9818188548088074,0.07635123282670975
10,0.3902077376842499,0.24256372451782227,0.1433563232421875,1e-04,0.9793075323104858,0.15273849666118622,0.3217198848724365,0.1920280009508133,0.1493208408355713,0.970403254032135,0.10065022855997086
11,0.40512144565582275,0.2541872560977936,0.1374761462211609,1e-04,0.9822574257850647,0.15291589498519897,0.3486829102039337,0.21144850552082062,0.14167238771915436,0.9785326719284058,0.11252062022686005
12,0.42029672861099243,0.2662433385848999,0.13212530314922333,1e-04,0.9840213060379028,0.15372398495674133,0.3843834400177002,0.23846638202667236,0.13766539096832275,0.957747757434845,0.13408413529396057
13,0.43170204758644104,0.2754472494125366,0.12844030559062958,1e-04,0.9844443202018738,0.15393128991127014,0.3798825442790985,0.23484833538532257,0.13348515331745148,0.9899845123291016,0.124911367893219
14,0.4334181547164917,0.27686652541160583,0.12769775092601776,1e-04,0.978238582611084,0.1520170271396637,0.39833247661590576,0.24917295575141907,0.12916143238544464,0.9670427441596985,0.1305156648159027
15,0.4503411054611206,0.29080596566200256,0.12171090394258499,1e-04,0.9846306443214417,0.15402372181415558,0.42122596502304077,0.26728424429893494,0.12290771305561066,0.979184627532959,0.13461808860301971
16,0.4643516540527344,0.3025839626789093,0.11762650310993195,1e-04,0.9881047606468201,0.15553335845470428,0.4346342980861664,0.2782699465751648,0.11992144584655762,0.9717822670936584,0.1395324468612671
17,0.47732269763946533,0.31367596983909607,0.11384905129671097,1e-04,0.9910821914672852,0.15670153498649597,0.4322994649410248,0.27636590600013733,0.11846163123846054,0.9705215096473694,0.13266703486442566
18,0.48774129152297974,0.3227389454841614,0.1110505685210228,1e-04,0.9918540120124817,0.15772902965545654,0.44574323296546936,0.2874583601951599,0.11630938202142715,0.9680489301681519,0.13946254551410675
19,0.49630680680274963,0.33029282093048096,0.10880345851182938,1e-04,0.9928877949714661,0.15801292657852173,0.44175630807876587,0.284092515707016,0.1164029985666275,0.9576815366744995,0.13488313555717468
20,0.5037415027618408,0.3369145095348358,0.10687961429357529,1e-04,0.9926657676696777,0.15823104977607727,0.4506848454475403,0.2913460433483124,0.1141800507903099,0.9824250936508179,0.13312171399593353
21,0.511568009853363,0.34395208954811096,0.10501077771186829,1e-04,0.9928219318389893,0.15887433290481567,0.4614240527153015,0.3004586398601532,0.1135571226477623,0.9775945544242859,0.13371457159519196
22,0.5179043412208557,0.3496997058391571,0.10337980091571808,1e-04,0.9931186437606812,0.15875913202762604,0.46599727869033813,0.3043351471424103,0.1094655841588974,0.978840172290802,0.12362275272607803
23,0.5276411175727844,0.3586384057998657,0.10106539726257324,1e-04,0.9946972131729126,0.15979255735874176,0.47075772285461426,0.30839189887046814,0.10777710378170013,0.9832088947296143,0.12951765954494476
24,0.5345827341079712,0.3650868535041809,0.09947369992733002,1e-04,0.9952653050422668,0.1603998988866806,0.4808504581451416,0.31718605756759644,0.1060408353805542,0.9774229526519775,0.1329411417245865
25,0.5412835478782654,0.3713687062263489,0.09787816554307938,1e-04,0.995728075504303,0.16094675660133362,0.4715825021266937,0.30890125036239624,0.10780338197946548,0.9845375418663025,0.12818534672260284
26,0.5478477478027344,0.3775891959667206,0.09634034335613251,1e-04,0.9960436820983887,0.16134873032569885,0.4941086173057556,0.32890447974205017,0.10487042367458344,0.9773805141448975,0.13702090084552765
27,0.5542848706245422,0.3837348520755768,0.0947764590382576,1e-04,0.9969342350959778,0.16167126595973969,0.49045640230178833,0.3254242241382599,0.10488393157720566,0.9868002533912659,0.12858501076698303
28,0.5611029863357544,0.39029818773269653,0.0932592898607254,1e-04,0.9970884323120117,0.16255511343479156,0.5105782747268677,0.34360557794570923,0.10224449634552002,0.9784163236618042,0.1392156332731247
29,0.5672377943992615,0.3962301015853882,0.09169912338256836,1e-04,0.9977518916130066,0.16309306025505066,0.5048821568489075,0.33836156129837036,0.10452292114496231,0.9846795201301575,0.13134703040122986
